0,1,2,3,4,5,6
ENGINE,LOWER,PROPER,DIGITS,CHASSIS,COLOR,PLACE OF DELIVERY
RSPDL150GH00147,rspdl150gh00147,Rspdl150Gh00147,00147,RSPDL150GH00147,BLUE,DAET
RSPDL150GH00148,rspdl150gh00148,Rspdl150Gh00148,00148,RSPDL150GH00148,BLUE,MEYCAUAYAN
RSPDL150GH00149,rspdl150gh00149,Rspdl150Gh00149,00149,RSPDL150GH00149,BLUE,MEYCAUAYAN
RSPDL150GH00150,rspdl150gh00150,Rspdl150Gh00150,00150,RSPDL150GH00150,BLUE,DAET
RSPDL150GH00151,rspdl150gh00151,Rspdl150Gh00151,00151,RSPDL150GH00151,BLUE,STO.TOMAS
RSPDL150GH00152,rspdl150gh00152,Rspdl150Gh00152,00152,RSPDL150GH00152,BLUE,BACOOR
RSPDL150GH00153,rspdl150gh00153,Rspdl150Gh00153,00153,RSPDL150GH00153,BLUE,BACOOR
RSPDL150GH00154,rspdl150gh00154,Rspdl150Gh00154,00154,RSPDL150GH00154,BLUE,CAUAYAN
RSPDL150GH00155,rspdl150gh00155,Rspdl150Gh00155,00155,RSPDL150GH00155,BLUE,DAET
RSPDL150GH00156,rspdl150gh00156,Rspdl150Gh00156,00156,RSPDL150GH00156,BLUE,LABO 
RSPDL150GH00157,rspdl150gh00157,Rspdl150Gh00157,00157,RSPDL150GH00157,BLUE,CAUAYAN
RSPDL150GH00158,rspdl150gh00158,Rspdl150Gh00158,00158,RSPDL150GH00158,BLUE,CAUAYAN
RSPDL150GH00159,rspdl150gh00159,Rspdl150Gh00159,00159,RSPDL150GH00159,BLUE,CAUAYAN
RSPDL150GH00160,rspdl150gh00160,Rspdl150Gh00160,00160,RSPDL150GH00160,BLUE,BACOOR
RSPDL150GH00161,rspdl150gh00161,Rspdl150Gh00161,00161,RSPDL150GH00161,BLUE,BACOOR
RSPDL150GH00162,rspdl150gh00162,Rspdl150Gh00162,00162,RSPDL150GH00162,BLUE,MEYCAUAYAN
RSPDL150GH00163,rspdl150gh00163,Rspdl150Gh00163,00163,RSPDL150GH00163,BLUE,BACOOR
RSPDL150GH00164,rspdl150gh00164,Rspdl150Gh00164,00164,RSPDL150GH00164,BLUE,TUNASAN C/O: BIÑAN
RSPDL150GH00165,rspdl150gh00165,Rspdl150Gh00165,00165,RSPDL150GH00165,BLUE,BACOOR
RSPDL150GH00166,rspdl150gh00166,Rspdl150Gh00166,00166,RSPDL150GH00166,BLUE,LABO 
RSPDL150GH00167,rspdl150gh00167,Rspdl150Gh00167,00167,RSPDL150GH00167,BLUE,MEYCAUAYAN
RSPDL150GH00168,rspdl150gh00168,Rspdl150Gh00168,00168,RSPDL150GH00168,BLUE,TUNASAN C/O: BIÑAN
RSPDL150GH00169,rspdl150gh00169,Rspdl150Gh00169,00169,RSPDL150GH00169,BLUE,MEYCAUAYAN
RSPDL150GH00170,rspdl150gh00170,Rspdl150Gh00170,00170,RSPDL150GH00170,BLUE,TUNASAN C/O: BIÑAN
RSPDL150GH00171,rspdl150gh00171,Rspdl150Gh00171,00171,RSPDL150GH00171,BLUE,MEYCAUAYAN
RSPDL150GH00172,rspdl150gh00172,Rspdl150Gh00172,00172,RSPDL150GH00172,BLUE,MEYCAUAYAN
RSPDL150GH00173,rspdl150gh00173,Rspdl150Gh00173,00173,RSPDL150GH00173,BLUE,LABO 
RSPDL150GH00174,rspdl150gh00174,Rspdl150Gh00174,00174,RSPDL150GH00174,BLUE,NAGA
RSPDL150GH00175,rspdl150gh00175,Rspdl150Gh00175,00175,RSPDL150GH00175,BLUE,BACOOR
RSPDL150GH00176,rspdl150gh00176,Rspdl150Gh00176,00176,RSPDL150GH00176,BLUE,BACOOR
RSPDL150GH00177,rspdl150gh00177,Rspdl150Gh00177,00177,RSPDL150GH00177,BLUE,MEYCAUAYAN
RSPDL150GH00178,rspdl150gh00178,Rspdl150Gh00178,00178,RSPDL150GH00178,BLUE,MEYCAUAYAN
RSPDL150GH00179,rspdl150gh00179,Rspdl150Gh00179,00179,RSPDL150GH00179,BLUE,BACOOR
RSPDL150GH00180,rspdl150gh00180,Rspdl150Gh00180,00180,RSPDL150GH00180,BLUE,MEYCAUAYAN
RSPDL150GH00181,rspdl150gh00181,Rspdl150Gh00181,00181,RSPDL150GH00181,BLACK,CAUAYAN
RSPDL150GH00182,rspdl150gh00182,Rspdl150Gh00182,00182,RSPDL150GH00182,BLACK,CAUAYAN
RSPDL150GH00183,rspdl150gh00183,Rspdl150Gh00183,00183,RSPDL150GH00183,BLACK,LABO 
RSPDL150GH00184,rspdl150gh00184,Rspdl150Gh00184,00184,RSPDL150GH00184,BLACK,CAUAYAN
RSPDL150GH00185,rspdl150gh00185,Rspdl150Gh00185,00185,RSPDL150GH00185,BLACK,LABO 
RSPDL150GH00186,rspdl150gh00186,Rspdl150Gh00186,00186,RSPDL150GH00186,BLACK,NAGA
RSPDL150GH00187,rspdl150gh00187,Rspdl150Gh00187,00187,RSPDL150GH00187,BLACK,CAUAYAN
