0,1,2,3,4,5,6
ENGINE,LOWER,PROPER,DIGITS,CHASSIS,COLOR,PLACE OF DELIVERY
RSPFL125EL00855,rspfl125el00855,Rspfl125El00855,00855,RSPFL125EL00855,MATTE BLACK,BACOOR
RSPFL125EL00856,rspfl125el00856,Rspfl125El00856,00856,RSPFL125EL00856,MATTE BLACK,BACOOR
RSPFL125EL00857,rspfl125el00857,Rspfl125El00857,00857,RSPFL125EL00857,MATTE BLACK,PANDI BULACAN C/O: TUNGKO
RSPFL125EL00858,rspfl125el00858,Rspfl125El00858,00858,RSPFL125EL00858,MATTE BLACK,SAN PABLO
RSPFL125EL00859,rspfl125el00859,Rspfl125El00859,00859,RSPFL125EL00859,MATTE BLACK,SAN PABLO
RSPFL125EL00860,rspfl125el00860,Rspfl125El00860,00860,RSPFL125EL00860,MATTE BLACK,VICAS C/O: KIKO
RSPFL125EL00861,rspfl125el00861,Rspfl125El00861,00861,RSPFL125EL00861,MATTE BLACK,CAINTA
RSPFL125EL00862,rspfl125el00862,Rspfl125El00862,00862,RSPFL125EL00862,MATTE BLACK,MALABON C/O: VALENZUELA
RSPFL125EL00863,rspfl125el00863,Rspfl125El00863,00863,RSPFL125EL00863,MATTE BLACK,PANDI BULACAN C/O: TUNGKO
RSPFL125EL00864,rspfl125el00864,Rspfl125El00864,00864,RSPFL125EL00864,MATTE BLACK,CAMARIN C/O: TUNGKO
RSPFL125EL00865,rspfl125el00865,Rspfl125El00865,00865,RSPFL125EL00865,MATTE BLACK,VICAS C/O: KIKO
RSPFL125EL00866,rspfl125el00866,Rspfl125El00866,00866,RSPFL125EL00866,MATTE BLACK,TUNGKO
RSPFL125EL00867,rspfl125el00867,Rspfl125El00867,00867,RSPFL125EL00867,MATTE BLACK,CAMARIN C/O: TUNGKO
RSPFL125EL00868,rspfl125el00868,Rspfl125El00868,00868,RSPFL125EL00868,MATTE BLACK,SHAW BLVD C/O: TONDO
RSPFL125EL00869,rspfl125el00869,Rspfl125El00869,00869,RSPFL125EL00869,MATTE BLACK,TUNGKO
RSPFL125EL00870,rspfl125el00870,Rspfl125El00870,00870,RSPFL125EL00870,MATTE BLACK,CAMARIN C/O: TUNGKO
RSPFL125EL00871,rspfl125el00871,Rspfl125El00871,00871,RSPFL125EL00871,BLACK,CAINTA
RSPFL125EL00872,rspfl125el00872,Rspfl125El00872,00872,RSPFL125EL00872,BLACK,TALON C/O: MUNTINLUPA
RSPFL125EL00873,rspfl125el00873,Rspfl125El00873,00873,RSPFL125EL00873,BLACK,SAN PABLO
RSPFL125EL00874,rspfl125el00874,Rspfl125El00874,00874,RSPFL125EL00874,BLACK,VICTORIA -STA CRUZ
RSPFL125EL00875,rspfl125el00875,Rspfl125El00875,00875,RSPFL125EL00875,BLACK,ANTIPOLO
RSPFL125EL00876,rspfl125el00876,Rspfl125El00876,00876,RSPFL125EL00876,BLACK,SINGKAMAS C/O: TONDO
RSPFL125EL00877,rspfl125el00877,Rspfl125El00877,00877,RSPFL125EL00877,BLACK,ALMANZA C/O: MUNTINLUPA
RSPFL125EL00878,rspfl125el00878,Rspfl125El00878,00878,RSPFL125EL00878,BLACK,MALABON C/O: VALENZUELA
RSPFL125EL00879,rspfl125el00879,Rspfl125El00879,00879,RSPFL125EL00879,BLACK,SAN PABLO
RSPFL125EL00880,rspfl125el00880,Rspfl125El00880,00880,RSPFL125EL00880,BLACK,SAN PABLO
RSPFL125EL00881,rspfl125el00881,Rspfl125El00881,00881,RSPFL125EL00881,BLACK,CUBAO C/O: KAMIAS
RSPFL125EL00882,rspfl125el00882,Rspfl125El00882,00882,RSPFL125EL00882,BLACK,SAN PABLO
RSPFL125EL00883,rspfl125el00883,Rspfl125El00883,00883,RSPFL125EL00883,BLACK,STO.TOMAS 
RSPFL125EL00884,rspfl125el00884,Rspfl125El00884,00884,RSPFL125EL00884,BLACK,VICTORIA -STA CRUZ
RSPFL125EL00885,rspfl125el00885,Rspfl125El00885,00885,RSPFL125EL00885,BLACK,MALABON C/O: VALENZUELA
RSPFL125EL00886,rspfl125el00886,Rspfl125El00886,00886,RSPFL125EL00886,BLACK,STO.TOMAS 
RSPFL125EL00887,rspfl125el00887,Rspfl125El00887,00887,RSPFL125EL00887,BLACK,BACOOR
RSPFL125EL00888,rspfl125el00888,Rspfl125El00888,00888,RSPFL125EL00888,BLACK,SAN PABLO
RSPFL125EL00889,rspfl125el00889,Rspfl125El00889,00889,RSPFL125EL00889,BLACK,CUBAO C/O: KAMIAS
RSPFL125EL00890,rspfl125el00890,Rspfl125El00890,00890,RSPFL125EL00890,BLACK,STO.TOMAS 
RSPFL125EL00891,rspfl125el00891,Rspfl125El00891,00891,RSPFL125EL00891,BLACK,ANTIPOLO
RSPFL125EL00892,rspfl125el00892,Rspfl125El00892,00892,RSPFL125EL00892,BLACK,SHAW BLVD C/O: TONDO
RSPFL125EL00893,rspfl125el00893,Rspfl125El00893,00893,RSPFL125EL00893,BLACK,GUMACA C/O: LOPEZ
RSPFL125EL00894,rspfl125el00894,Rspfl125El00894,00894,RSPFL125EL00894,BLACK,SAN PABLO
RSPFL125EL00895,rspfl125el00895,Rspfl125El00895,00895,RSPFL125EL00895,BLACK,SAN PABLO
RSPFL125EL00896,rspfl125el00896,Rspfl125El00896,00896,RSPFL125EL00896,BLACK,CUBAO C/O: KAMIAS
RSPFL125EL00897,rspfl125el00897,Rspfl125El00897,00897,RSPFL125EL00897,BLACK,STO.TOMAS 
RSPFL125EL00898,rspfl125el00898,Rspfl125El00898,00898,RSPFL125EL00898,BLACK,TUNGKO
RSPFL125EL00899,rspfl125el00899,Rspfl125El00899,00899,RSPFL125EL00899,BLACK,CUBAO C/O: KAMIAS
RSPFL125EL00900,rspfl125el00900,Rspfl125El00900,00900,RSPFL125EL00900,BLACK,STO.TOMAS 
RSPFL125EL00901,rspfl125el00901,Rspfl125El00901,00901,RSPFL125EL00901,BLACK,SAN JUAN C/O: TONDO
RSPFL125EL00902,rspfl125el00902,Rspfl125El00902,00902,RSPFL125EL00902,BLACK,STO.TOMAS
